  
       XFOIL         Version 6.99
  
 Calculated polar for: HT05                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0001   0.03133   0.00622   0.0000   1.0000   1.0000
   0.500   0.0495   0.03137   0.00638   0.0010   1.0000   1.0000
   1.000   0.0989   0.03149   0.00686   0.0020   1.0000   1.0000
   1.500   0.1481   0.03170   0.00767   0.0029   1.0000   1.0000
   2.000   0.1970   0.03201   0.00892   0.0038   1.0000   1.0000
   2.500   0.2453   0.03246   0.01058   0.0044   1.0000   1.0000
   3.000   0.2925   0.03316   0.01303   0.0044   1.0000   1.0000
   3.500   0.3260   0.03507   0.01694   0.0016   1.0000   1.0000
   4.000   0.3220   0.04053   0.02248  -0.0048   1.0000   1.0000
   4.500   0.3278   0.04643   0.02836  -0.0116   1.0000   1.0000
   5.000   0.5759   0.06680   0.05104  -0.0581   0.7097   1.0000
   5.500   0.5969   0.07507   0.05932  -0.0603   0.6835   1.0000
   6.000   0.5987   0.08225   0.06634  -0.0614   0.6828   1.0000
   6.500   0.6051   0.08972   0.07370  -0.0632   0.6842   1.0000
   7.000   0.5990   0.09612   0.07990  -0.0649   0.7120   1.0000
   7.500   0.5807   0.10106   0.08460  -0.0655   0.7650   1.0000
   8.000   0.5586   0.10521   0.08851  -0.0649   0.8408   1.0000
   8.500   0.5096   0.10509   0.08802  -0.0563   0.9429   1.0000
   9.000   0.4724   0.10497   0.08760  -0.0459   1.0000   1.0000
   9.500   0.4898   0.11212   0.09480  -0.0487   1.0000   1.0000
  10.000   0.5073   0.11932   0.10206  -0.0515   1.0000   1.0000
  10.500   0.5250   0.12657   0.10936  -0.0543   1.0000   1.0000
  11.000   0.5428   0.13386   0.11679  -0.0572   1.0000   1.0000
  11.500   0.5609   0.14117   0.12415  -0.0601   1.0000   1.0000
  12.000   0.5792   0.14850   0.13153  -0.0630   1.0000   1.0000
  12.500   0.5978   0.15585   0.13893  -0.0661   1.0000   1.0000
  13.000   0.6166   0.16322   0.14634  -0.0692   1.0000   1.0000
  13.500   0.6355   0.17060   0.15377  -0.0725   1.0000   1.0000
  14.000   0.6546   0.17800   0.16132  -0.0758   1.0000   1.0000
  14.500   0.6739   0.18543   0.16880  -0.0792   1.0000   1.0000
  15.000   0.6933   0.19288   0.17631  -0.0827   1.0000   1.0000
  15.500   0.7598   0.20977   0.19354  -0.0977   0.9056   1.0000
  16.000   0.8033   0.22294   0.20687  -0.1045   0.8260   1.0000
  16.500   0.8369   0.23377   0.21791  -0.1082   0.7560   1.0000
  17.000   0.8617   0.24177   0.22598  -0.1101   0.6973   1.0000
  17.500   0.8877   0.25195   0.23624  -0.1124   0.6458   1.0000
  18.000   0.9054   0.25802   0.24231  -0.1140   0.6069   1.0000
  18.500   0.9299   0.26925   0.25360  -0.1166   0.5712   1.0000
  19.000   0.9468   0.27535   0.25972  -0.1187   0.5412   1.0000
  19.500   0.9649   0.28243   0.26695  -0.1210   0.5120   1.0000
  20.000   0.9838   0.29040   0.27496  -0.1235   0.4842   1.0000
  20.500   1.0037   0.29979   0.28440  -0.1260   0.4570   1.0000
  21.000   1.0165   0.30237   0.28701  -0.1288   0.4343   1.0000
  21.500   1.0358   0.31187   0.29655  -0.1317   0.4128   1.0000
  22.000   1.0498   0.31568   0.30039  -0.1349   0.3937   1.0000
  22.500   1.0668   0.32288   0.30778  -0.1382   0.3753   1.0000
  23.000   1.0845   0.33147   0.31645  -0.1416   0.3584   1.0000
  23.500   1.1019   0.34059   0.32565  -0.1450   0.3426   1.0000
  24.000   1.1173   0.34707   0.33214  -0.1487   0.3279   1.0000
  24.500   1.1326   0.35361   0.33874  -0.1525   0.3136   1.0000
  25.000   1.1463   0.35752   0.34274  -0.1565   0.3003   1.0000
  25.500   1.1590   0.36006   0.34532  -0.1609   0.2886   1.0000
  26.000   1.1727   0.36451   0.34994  -0.1652   0.2779   1.0000
  26.500   1.1876   0.37188   0.35739  -0.1694   0.2678   1.0000
  27.000   1.2044   0.38369   0.36930  -0.1731   0.2562   1.0000
  27.500   1.2147   0.38136   0.36705  -0.1784   0.2482   1.0000
  28.000   1.2292   0.38976   0.37554  -0.1827   0.2401   1.0000
  28.500   1.2422   0.39446   0.38036  -0.1873   0.2303   1.0000
  29.000   1.2542   0.39814   0.38418  -0.1923   0.2238   1.0000
  29.500   1.2688   0.40913   0.39535  -0.1963   0.2141   1.0000
  30.000   1.2787   0.40766   0.39391  -0.2020   0.2085   1.0000
