  
       XFOIL         Version 6.99
  
 Calculated polar for: I.S.A. 571                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2028   0.03784   0.01520  -0.0444   1.0000   1.0000
   0.500   0.2423   0.03899   0.01569  -0.0437   1.0000   1.0000
   1.000   0.2790   0.04047   0.01670  -0.0432   1.0000   1.0000
   1.500   0.3125   0.04236   0.01831  -0.0430   1.0000   1.0000
   2.000   0.3426   0.04474   0.02052  -0.0433   1.0000   1.0000
   2.500   0.3695   0.04765   0.02334  -0.0440   1.0000   1.0000
   3.000   0.3938   0.05105   0.02671  -0.0452   1.0000   1.0000
   3.500   0.4166   0.05485   0.03055  -0.0467   1.0000   1.0000
   4.000   0.4388   0.05897   0.03472  -0.0485   1.0000   1.0000
   4.500   0.4605   0.06335   0.03923  -0.0504   1.0000   1.0000
   5.000   0.4816   0.06800   0.04406  -0.0524   1.0000   1.0000
   5.500   0.5021   0.07293   0.04919  -0.0545   1.0000   1.0000
   6.000   0.5220   0.07815   0.05465  -0.0568   1.0000   1.0000
   6.500   0.5410   0.08367   0.06050  -0.0591   1.0000   1.0000
   7.000   0.5593   0.08949   0.06661  -0.0615   1.0000   1.0000
   7.500   0.5769   0.09558   0.07302  -0.0640   1.0000   1.0000
   8.000   0.5939   0.10190   0.07974  -0.0666   1.0000   1.0000
   8.500   0.6106   0.10843   0.08662  -0.0692   1.0000   1.0000
   9.000   0.6271   0.11512   0.09366  -0.0719   1.0000   1.0000
   9.500   0.6435   0.12195   0.10095  -0.0747   1.0000   1.0000
  10.000   0.6600   0.12892   0.10829  -0.0775   1.0000   1.0000
  10.500   0.6764   0.13598   0.11575  -0.0804   1.0000   1.0000
  11.000   0.6930   0.14314   0.12330  -0.0834   1.0000   1.0000
  11.500   0.7098   0.15039   0.13096  -0.0865   1.0000   1.0000
  12.000   0.7268   0.15774   0.13881  -0.0897   1.0000   1.0000
  12.500   0.7439   0.16520   0.14670  -0.0931   1.0000   1.0000
  13.000   0.7611   0.17280   0.15473  -0.0966   1.0000   1.0000
  13.500   0.7783   0.18061   0.16297  -0.1003   1.0000   1.0000
  14.000   0.7954   0.18868   0.17147  -0.1041   1.0000   1.0000
  14.500   0.8125   0.19709   0.18039  -0.1082   1.0000   1.0000
  15.000   0.8296   0.20583   0.18947  -0.1126   1.0000   1.0000
  15.500   0.8800   0.22230   0.20645  -0.1260   0.9383   1.0000
  16.000   0.9157   0.23187   0.21631  -0.1332   0.8638   1.0000
  16.500   0.9495   0.24329   0.22793  -0.1385   0.7948   1.0000
  17.000   0.9747   0.25248   0.23724  -0.1423   0.7505   1.0000
  17.500   0.9988   0.26131   0.24618  -0.1455   0.7061   1.0000
  18.000   1.0226   0.27035   0.25547  -0.1485   0.6625   1.0000
  18.500   1.0419   0.27710   0.26229  -0.1512   0.6299   1.0000
  19.000   1.0629   0.28591   0.27117  -0.1545   0.6025   1.0000
  19.500   1.0839   0.29494   0.28028  -0.1576   0.5744   1.0000
  20.000   1.1056   0.30493   0.29035  -0.1607   0.5463   1.0000
  20.500   1.1195   0.30772   0.29318  -0.1636   0.5233   1.0000
  21.000   1.1414   0.31924   0.30479  -0.1671   0.5020   1.0000
  21.500   1.1554   0.32235   0.30794  -0.1705   0.4829   1.0000
  22.000   1.1738   0.33025   0.31592  -0.1739   0.4621   1.0000
  22.500   1.1936   0.34097   0.32688  -0.1774   0.4436   1.0000
  23.000   1.2083   0.34538   0.33135  -0.1812   0.4276   1.0000
  23.500   1.2241   0.35131   0.33735  -0.1851   0.4123   1.0000
  24.000   1.2402   0.35810   0.34422  -0.1890   0.3977   1.0000
  24.500   1.2564   0.36524   0.35145  -0.1930   0.3834   1.0000
  25.000   1.2727   0.37331   0.35961  -0.1970   0.3694   1.0000
  25.500   1.2894   0.38244   0.36884  -0.2010   0.3554   1.0000
  26.000   1.3011   0.38256   0.36915  -0.2056   0.3437   1.0000
  26.500   1.3143   0.38646   0.37312  -0.2103   0.3331   1.0000
  27.000   1.3293   0.39427   0.38104  -0.2146   0.3228   1.0000
  27.500   1.3462   0.40655   0.39345  -0.2186   0.3107   1.0000
  28.000   1.3562   0.40423   0.39122  -0.2239   0.3011   1.0000
  28.500   1.3695   0.41030   0.39746  -0.2286   0.2924   1.0000
  29.000   1.3854   0.42355   0.41086  -0.2325   0.2815   1.0000
  29.500   1.3946   0.41987   0.40728  -0.2383   0.2736   1.0000
  30.000   1.4080   0.42895   0.41648  -0.2428   0.2657   1.0000
