  
       XFOIL         Version 6.99
  
 Calculated polar for: JX-GS-15                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0477   0.03344   0.00897  -0.0148   1.0000   1.0000
   0.500   0.0850   0.03381   0.00894  -0.0129   1.0000   1.0000
   1.000   0.1214   0.03435   0.00929  -0.0112   1.0000   1.0000
   1.500   0.1568   0.03509   0.00996  -0.0096   1.0000   1.0000
   2.000   0.1907   0.03603   0.01095  -0.0081   1.0000   1.0000
   2.500   0.2228   0.03723   0.01227  -0.0069   1.0000   1.0000
   3.000   0.2528   0.03873   0.01400  -0.0059   1.0000   1.0000
   3.500   0.2802   0.04061   0.01625  -0.0054   1.0000   1.0000
   4.000   0.3050   0.04291   0.01889  -0.0054   1.0000   1.0000
   4.500   0.3271   0.04572   0.02206  -0.0060   1.0000   1.0000
   5.000   0.3466   0.04907   0.02581  -0.0073   1.0000   1.0000
   5.500   0.3640   0.05298   0.03013  -0.0091   1.0000   1.0000
   6.000   0.3799   0.05743   0.03522  -0.0116   1.0000   1.0000
   6.500   0.3949   0.06238   0.04057  -0.0144   1.0000   1.0000
   7.000   0.4092   0.06779   0.04639  -0.0176   1.0000   1.0000
   7.500   0.4231   0.07362   0.05264  -0.0209   1.0000   1.0000
   8.000   0.4370   0.07985   0.05925  -0.0244   1.0000   1.0000
   8.500   0.4509   0.08641   0.06620  -0.0279   1.0000   1.0000
   9.000   0.4649   0.09331   0.07346  -0.0315   1.0000   1.0000
   9.500   0.4790   0.10044   0.08114  -0.0350   1.0000   1.0000
  10.000   0.4935   0.10777   0.08882  -0.0385   1.0000   1.0000
  10.500   0.5084   0.11525   0.09658  -0.0420   1.0000   1.0000
  11.000   0.5237   0.12284   0.10445  -0.0455   1.0000   1.0000
  11.500   0.5395   0.13050   0.11237  -0.0490   1.0000   1.0000
  12.000   0.5557   0.13820   0.12029  -0.0525   1.0000   1.0000
  12.500   0.5725   0.14594   0.12825  -0.0561   1.0000   1.0000
  13.000   0.5898   0.15369   0.13620  -0.0596   1.0000   1.0000
  13.500   0.6075   0.16142   0.14410  -0.0632   1.0000   1.0000
  14.000   0.6255   0.16915   0.15200  -0.0668   1.0000   1.0000
  14.500   0.6438   0.17689   0.15989  -0.0704   1.0000   1.0000
  15.000   0.6793   0.18890   0.17215  -0.0787   0.9770   1.0000
  15.500   0.7223   0.20180   0.18560  -0.0883   0.9227   1.0000
  16.000   0.7618   0.21406   0.19807  -0.0955   0.8592   1.0000
  16.500   0.7928   0.22326   0.20742  -0.1000   0.8002   1.0000
  17.000   0.8198   0.23262   0.21689  -0.1039   0.7584   1.0000
  17.500   0.8436   0.24097   0.22532  -0.1071   0.7222   1.0000
  18.000   0.8706   0.25213   0.23655  -0.1107   0.6869   1.0000
  18.500   0.8891   0.25742   0.24187  -0.1131   0.6541   1.0000
  19.000   0.9133   0.26727   0.25178  -0.1161   0.6187   1.0000
  19.500   0.9339   0.27444   0.25899  -0.1185   0.5828   1.0000
  20.000   0.9555   0.28344   0.26801  -0.1213   0.5522   1.0000
  20.500   0.9757   0.29173   0.27659  -0.1242   0.5260   1.0000
  21.000   0.9914   0.29618   0.28106  -0.1270   0.5033   1.0000
  21.500   1.0093   0.30317   0.28807  -0.1300   0.4828   1.0000
  22.000   1.0284   0.31130   0.29625  -0.1331   0.4614   1.0000
  22.500   1.0450   0.31752   0.30248  -0.1364   0.4437   1.0000
  23.000   1.0606   0.32249   0.30749  -0.1397   0.4252   1.0000
  23.500   1.0810   0.33369   0.31877  -0.1429   0.4061   1.0000
  24.000   1.0944   0.33675   0.32182  -0.1465   0.3901   1.0000
  24.500   1.1091   0.34122   0.32633  -0.1501   0.3730   1.0000
  25.000   1.1251   0.34787   0.33320  -0.1536   0.3563   1.0000
  25.500   1.1420   0.35621   0.34162  -0.1571   0.3403   1.0000
  26.000   1.1571   0.36254   0.34801  -0.1609   0.3266   1.0000
  26.500   1.1703   0.36643   0.35194  -0.1649   0.3145   1.0000
  27.000   1.1833   0.37024   0.35580  -0.1691   0.3037   1.0000
  27.500   1.1968   0.37561   0.36122  -0.1733   0.2935   1.0000
  28.000   1.2117   0.38348   0.36917  -0.1773   0.2835   1.0000
  28.500   1.2263   0.39183   0.37776  -0.1812   0.2724   1.0000
  29.000   1.2362   0.39118   0.37713  -0.1861   0.2641   1.0000
  29.500   1.2493   0.39801   0.38405  -0.1903   0.2561   1.0000
  30.000   1.2631   0.40679   0.39297  -0.1943   0.2459   1.0000
