  
       XFOIL         Version 6.99
  
 Calculated polar for: K3311 (smoothed)                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0096   0.04243   0.02064  -0.0290   1.0000   1.0000
   0.500   0.0239   0.04361   0.02094  -0.0284   1.0000   1.0000
   1.000   0.0571   0.04500   0.02162  -0.0279   1.0000   1.0000
   1.500   0.0898   0.04659   0.02258  -0.0275   1.0000   1.0000
   2.000   0.1220   0.04837   0.02389  -0.0273   1.0000   1.0000
   2.500   0.1534   0.05036   0.02550  -0.0273   1.0000   1.0000
   3.000   0.1843   0.05257   0.02739  -0.0274   1.0000   1.0000
   3.500   0.2143   0.05499   0.02960  -0.0276   1.0000   1.0000
   4.000   0.2435   0.05764   0.03212  -0.0280   1.0000   1.0000
   4.500   0.2719   0.06053   0.03494  -0.0285   1.0000   1.0000
   5.000   0.2993   0.06366   0.03809  -0.0292   1.0000   1.0000
   5.500   0.3258   0.06704   0.04155  -0.0301   1.0000   1.0000
   6.000   0.3512   0.07069   0.04532  -0.0311   1.0000   1.0000
   6.500   0.3757   0.07461   0.04945  -0.0323   1.0000   1.0000
   7.000   0.3992   0.07883   0.05389  -0.0337   1.0000   1.0000
   7.500   0.4218   0.08333   0.05865  -0.0352   1.0000   1.0000
   8.000   0.4434   0.08813   0.06380  -0.0370   1.0000   1.0000
   8.500   0.4640   0.09322   0.06923  -0.0389   1.0000   1.0000
   9.000   0.4838   0.09858   0.07495  -0.0409   1.0000   1.0000
   9.500   0.5028   0.10423   0.08105  -0.0432   1.0000   1.0000
  10.000   0.5211   0.11013   0.08736  -0.0456   1.0000   1.0000
  10.500   0.5388   0.11628   0.09393  -0.0482   1.0000   1.0000
  11.000   0.5561   0.12266   0.10073  -0.0510   1.0000   1.0000
  11.500   0.5730   0.12925   0.10782  -0.0539   1.0000   1.0000
  12.000   0.5896   0.13602   0.11502  -0.0570   1.0000   1.0000
  12.500   0.6059   0.14299   0.12243  -0.0603   1.0000   1.0000
  13.000   0.6222   0.15014   0.13000  -0.0638   1.0000   1.0000
  13.500   0.6385   0.15747   0.13780  -0.0674   1.0000   1.0000
  14.000   0.6548   0.16495   0.14567  -0.0712   1.0000   1.0000
  14.500   0.6712   0.17259   0.15366  -0.0751   1.0000   1.0000
  15.000   0.6878   0.18038   0.16178  -0.0791   1.0000   1.0000
  15.500   0.7199   0.19346   0.17528  -0.0874   0.9833   1.0000
  16.000   0.7615   0.20484   0.18721  -0.0976   0.9212   1.0000
  16.500   0.7971   0.21717   0.19987  -0.1050   0.8678   1.0000
  17.000   0.8257   0.22710   0.21007  -0.1102   0.8242   1.0000
  17.500   0.8521   0.23615   0.21935  -0.1145   0.7818   1.0000
  18.000   0.8740   0.24370   0.22710  -0.1181   0.7499   1.0000
  18.500   0.8946   0.25008   0.23361  -0.1213   0.7164   1.0000
  19.000   0.9164   0.25825   0.24192  -0.1248   0.6884   1.0000
  19.500   0.9389   0.26732   0.25112  -0.1284   0.6615   1.0000
  20.000   0.9622   0.27732   0.26125  -0.1319   0.6340   1.0000
  20.500   0.9767   0.28019   0.26426  -0.1346   0.6126   1.0000
  21.000   1.0003   0.29159   0.27578  -0.1383   0.5897   1.0000
  21.500   1.0147   0.29432   0.27858  -0.1412   0.5687   1.0000
  22.000   1.0362   0.30433   0.28872  -0.1447   0.5476   1.0000
  22.500   1.0535   0.31088   0.29533  -0.1481   0.5302   1.0000
  23.000   1.0685   0.31483   0.29942  -0.1513   0.5118   1.0000
  23.500   1.0860   0.32141   0.30610  -0.1547   0.4931   1.0000
  24.000   1.1042   0.32937   0.31417  -0.1583   0.4760   1.0000
  24.500   1.1220   0.33762   0.32252  -0.1618   0.4599   1.0000
  25.000   1.1396   0.34627   0.33124  -0.1654   0.4442   1.0000
  25.500   1.1545   0.35145   0.33650  -0.1690   0.4294   1.0000
  26.000   1.1698   0.35756   0.34277  -0.1727   0.4149   1.0000
  26.500   1.1852   0.36419   0.34953  -0.1764   0.4009   1.0000
  27.000   1.1980   0.36679   0.35220  -0.1804   0.3880   1.0000
  27.500   1.2106   0.37006   0.35554  -0.1843   0.3755   1.0000
  28.000   1.2238   0.37442   0.35998  -0.1884   0.3633   1.0000
  28.500   1.2371   0.37965   0.36530  -0.1924   0.3520   1.0000
  29.000   1.2514   0.38694   0.37277  -0.1964   0.3406   1.0000
  29.500   1.2671   0.39759   0.38353  -0.2002   0.3286   1.0000
  30.000   1.2762   0.39598   0.38203  -0.2047   0.3185   1.0000
